RecordID,Offense,IncidentID,BlockNumber,StreetName,Agency,DateReported,HourReported,ReportingOfficer
7255,Vandalism,202000010574,400,AVON ST,CPD,2020/04/22 15:28:15+00,1128,"McKeown, Kaitlyn"
7256,Suspicious Activity,202000010573,2300,GLENN CT,CPD,2020/04/22 15:15:19+00,1115,"McKeown, Kaitlyn"
7257,Lost/FoundProperty,202000010548,1800,EMMET ST N,CPD,2020/04/22 05:05:56+00,0105,"Eckenroth, Rachel"
7258,Assault Simple,202000010536,1000,HOLMES AVE,CPD,2020/04/22 02:11:12+00,2211,"Raines, Christopher"
7259,Hit and Run,202000010533,,MONTICELLO AVE @ DICE ST,CPD,2020/04/22 01:31:51+00,2131,"Bowers, Justin"
7260,Hit and Run,202000010528,1700,HYDRAULIC RD,CPD,2020/04/22 00:16:21+00,2016,"Green, Bryan"
7261,Hit and Run,202000010516,200,ELLIOTT AVE,CPD,2020/04/21 22:10:20+00,1810,"McKeown, Kaitlyn"
7262,Assault Simple,202000010513,200,"W MAIN ST, 101",CPD,2020/04/21 20:58:49+00,1658,"Raines, Christopher"
7263,Warrant Service,202000010512,100,E MARKET ST,CPD,2020/04/21 20:51:02+00,1651,"Hudson, Michael"
7264,Disorderly Conduct,202000010487,200,1ST ST N,CPD,2020/04/21 16:40:23+00,1240,"Pittman, Terry"
7265,Misc - Non-Criminal Call,202000010479,600,E MARKET ST,CPD,2020/04/21 13:57:04+00,0957,"Arndt, Brian"
7266,Fraud-impersonation,202000010475,600,"RIVES ST, A",CPD,2020/04/21 11:20:20+00,0720,"Houchens, Jamell"
7267,Vandalism,202000010466,500,RIALTO ST,CPD,2020/04/21 03:37:23+00,2337,"Miller, Devin"
7268,Vandalism,202000010463,800,"HARDY DR, B",CPD,2020/04/21 02:06:39+00,2206,"Haug, Ian"
7269,Lost/FoundProperty,202000010449,,DICE ST / 7TH ST SW,CPD,2020/04/20 23:26:11+00,1926,"Haug, Ian"
7270,Fraud-false pretense,202000010424,2400,"ARLINGTON BLVD, C-6",CPD,2020/04/20 18:44:15+00,1444,"FLURY, MICHAEL"
7271,COVID-19 Tracking,202000010418,2000,HOLIDAY DR,CPD,2020/04/20 17:20:59+00,1320,"Bayles, Shawn"
7272,Larceny - Of Veh Parts/Access,202000010411,700,"PRESTON AVE, B",CPD,2020/04/20 14:26:18+00,1026,"Nash, Darius"
7273,Assault Simple,202000010409,2000,"HOLIDAY DR, 353",CPD,2020/04/20 13:30:01+00,0930,"FLURY, MICHAEL"
7274,Larceny - From Motor Vehicle,202000010396,900,RAYMOND RD,CPD,2020/04/20 08:20:45+00,0420,"Arreguin, Arron"
7275,Larceny - From Motor Vehicle,202000010389,800,W MAIN ST,CPD,2020/04/20 04:46:11+00,0046,"Blackwell, Kyle"
7276,Suspicious Activity,202000010386,100,BIRDWOOD CT,CPD,2020/04/20 03:09:07+00,2309,"Boury, Bethany"
7277,Shots Fired/Illegal Hunting,202000010381,400,GARRETT ST,CPD,2020/04/20 01:44:25+00,2144,"Lee, Chandler"
7278,Drug/Narcotics Violation,202000010371,1300,POPLAR ST,CPD,2020/04/19 22:36:18+00,1836,"Holley, Barrett"
7279,Unauthorized Use of Motor Veh,202000010369,1300,POPLAR ST,CPD,2020/04/19 22:30:27+00,1830,"Via, Ryan"
7280,Larceny - All Other,202000010358,100,KELSEY CT,CPD,2020/04/19 20:40:53+00,1640,"Burchardt, Rudy"
7281,Larceny - Theft from Building,202080000035,2300,JEFFERSON PARK AVE,CPD,2020/04/19 19:00:33+00,1500,"Handy, Russell"
7282,Assault Aggravated,202000010354,100,W MARKET ST,CPD,2020/04/19 18:52:11+00,1452,"Lee, Chandler"
7283,Assault Aggravated,202000010346,800,CHERRY AVE,CPD,2020/04/19 15:34:19+00,1134,"Bowlin, Jacob"
7284,Vandalism,202090000025,1600,AVON STREET EXT,CPD,2020/04/19 05:02:00+00,0102,"Moje, Ashley"
7285,Fraud-false pretense,202080000034,2300,TARLETON DR,CPD,2020/04/19 03:48:52+00,2348,"Handy, Russell"
7286,Suspicious Activity,202000010308,400,12TH ST NW,CPD,2020/04/19 00:02:42+00,2002,"Babij, Joshua"
7287,Larceny - From Motor Vehicle,202000010296,400,13TH ST NE,CPD,2020/04/18 20:13:45+00,1613,"Stein, Nathan"
7288,Warrant Service,202000010287,200,RIDGE ST,CPD,2020/04/18 18:51:12+00,1451,"Shiflett, Tammy"
7289,Harassment,202080000033,1100,OTTER ST,CPD,2020/04/18 18:50:42+00,1450,"Handy, Russell"
7290,Larceny - From Motor Vehicle,202080000032,1100,"PRESTON AVE, A",CPD,2020/04/18 17:57:44+00,1357,"Handy, Russell"
7291,Larceny - From Motor Vehicle,202000010278,1700,ALLIED ST,CPD,2020/04/18 16:42:50+00,1242,"McKeown, Kaitlyn"
7292,Larceny - Theft from Building,202000010265,1100,PAGE ST,CPD,2020/04/18 14:12:45+00,1012,"McKeown, Kaitlyn"
7293,Larceny - From Motor Vehicle,202000010255,400,ROBINSON PL,CPD,2020/04/18 12:32:18+00,0832,"Godfrey, Gregory "
7294,Assault Intimidation,202000010235,300,CAMELIA DR,CPD,2020/04/18 02:29:02+00,2229,"Stein, Nathan"
7295,Hit and Run,202000010228,100,OLD LYNCHBURG RD,CPD,2020/04/17 23:39:00+00,1939,"Stein, Nathan"
7296,Larceny - All Other,202000010199,700,PROSPECT AVE,CPD,2020/04/17 16:26:46+00,1226,"Vlasis, Christopher"
7297,Vandalism,202000010187,600,PROSPECT AVE,CPD,2020/04/17 14:32:29+00,1032,"Curtis, David"
7298,Runaway,202000010182,800,E ST. CHARLES AVE,CPD,2020/04/17 13:35:25+00,0935,"Shiflett, Tammy"
7299,Assist Citizen - Mental/TDO/ECO,202000010166,600,E MARKET ST,CPD,2020/04/17 09:13:38+00,0513,"Wagner, Christopher "
7300,Vandalism,202000010153,100,"MONTE VISTA AVE, B",CPD,2020/04/17 04:05:13+00,0005,"Bise, Collin"
7301,Domestic Disturbance,202000010151,100,"MONTE VISTA AVE, B",CPD,2020/04/17 03:47:31+00,2347,"Bise, Collin"
7302,Assist Citizen - Mental/TDO/ECO,202000010128,1100,5TH ST SW,CPD,2020/04/16 23:43:36+00,1943,"Lowry, Ryan"
7303,Assault Simple,202000010120,1500,"GREEN ST, 4",CPD,2020/04/16 22:06:21+00,1806,"Gower, Charles"
7304,Hit and Run,202000010105,,10TH ST NW / WERTLAND ST,CPD,2020/04/16 19:11:31+00,1511,"Babij, Joshua"
7305,Assault Simple,202000010099,1400,"SHORT 18TH ST, B",CPD,2020/04/16 17:56:55+00,1356,"Shiflett, Tammy"
7306,Suspicious Activity,202000010086,600,E MARKET ST,CPD,2020/04/16 15:45:26+00,1145,"Bowlin, Jacob"
7307,Lost/FoundProperty,202000010083,1100,5TH ST SW,CPD,2020/04/16 15:22:00+00,1122,"Vlasis, Christopher"
7308,Larceny - Of Veh Parts/Access,202000010073,300,QUARRY RD,CPD,2020/04/16 12:38:47+00,0838,"Vlasis, Christopher"
7309,Suspicious Activity,202000010071,800,ESTES ST,CPD,2020/04/16 12:30:23+00,0830,"McKeown, Kaitlyn"
7310,Animal Complaint,202000010069,2200,BRANDYWINE DR,CPD,2020/04/16 11:36:37+00,0736,"Breeden, Casey"
7311,Assist Citizen - Mental/TDO/ECO,202000010052,1400,"BAKER ST, B",CPD,2020/04/16 06:02:00+00,0202,"Blackwell, Kyle"
7312,Traffic Stops,202000010051,,ALLEN DR / MOSELEY DR,CPD,2020/04/16 05:13:58+00,0113,"Arreguin, Arron"
7313,Drug/Narcotics Violation,202000010040,200,SHAMROCK RD,CPD,2020/04/16 00:54:19+00,2054,"Holley, Barrett"
7314,Larceny - All Other,202000010011,1100,RIVER RD,CPD,2020/04/15 17:59:09+00,1359,"Vlasis, Christopher"
7315,Death Investigation - DOA,202000010005,1100,"5TH ST SW, 213",CPD,2020/04/15 16:11:17+00,1211,"Curtis, David"
7316,Animal Complaint,202000009992,1200,GROVE ST,CPD,2020/04/15 13:14:42+00,0914,"Breeden, Casey"
7317,Domestic Disturbance,202000009971,1400,AVON ST,CPD,2020/04/15 04:03:23+00,0003,"Tennyson, James"
7318,Fraud-false pretense,202000009969,2400,FONTAINE AVE,CPD,2020/04/15 03:30:01+00,2330,"Morris, William "
7319,Larceny - Shoplifitng,202000009916,1400,UNIVERSITY AVE,CPD,2020/04/14 18:59:13+00,1459,"Jaeger, Jeffrey"
7320,Larceny - From Motor Vehicle,202000009912,100,STRATFORD CT,CPD,2020/04/14 18:12:55+00,1412,"Trammell, Ryan"
7321,Lost/FoundProperty,202080000031,1900,CHESAPEAKE ST,CPD,2020/04/14 18:07:00+00,1407,"Moje, Ashley"
7322,Impersonating a Police Officer,202000009899,500,PARK ST,CPD,2020/04/14 12:44:01+00,0844,"FLURY, MICHAEL"
7323,Curfew/Loitering/Vagrancy,202000009893,,10TH ST NW / PAGE ST,CPD,2020/04/14 06:51:06+00,0251,"Morris, William "
7324,Assault Simple,202000009864,1000,RIDGE ST,CPD,2020/04/13 22:31:09+00,1831,"Bowers, Justin"
7325,Larceny - From Motor Vehicle,202000009863,200,ZAN RD,CPD,2020/04/13 22:11:06+00,1811,"Hounsel, Eli"
7326,Disorderly Conduct,202000009859,800,W MAIN ST,CPD,2020/04/13 21:39:30+00,1739,"Haug, Ian"
7327,Assist Citizen - Welfare Check,202000009844,2100,"MICHIE DR, 99B",CPD,2020/04/13 20:37:42+00,1637,"Hounsel, Eli"
7328,Death Investigation - DOA,202000009843,500,"CLEVELAND AVE, A",CPD,2020/04/13 19:51:18+00,1551,"Chan, William"
7329,Assist Citizen - Mental/TDO/ECO,202000009841,200,RIDGE ST,CPD,2020/04/13 19:28:11+00,1528,"Haug, Ian"
7330,Embezzelment,202000009833,900,SEMINOLE TRL,CPD,2020/04/13 18:05:35+00,1405,"FLURY, MICHAEL"
7331,Larceny - From Motor Vehicle,202080000030,100,LONGWOOD DR,CPD,2020/04/13 14:46:17+00,1046,"Handy, Russell"
7332,Suspicious Activity,202000009783,400,W MAIN ST,CPD,2020/04/12 20:33:09+00,1633,"Haug, Ian"
7333,Assist Agency - Other,202000009749,2000,HOLIDAY DR,CPD,2020/04/12 06:50:06+00,0250,"Adams, Jonathan"
7334,Shots Fired/Illegal Hunting,202000009742,,1ST ST S / GARRETT ST,CPD,2020/04/12 03:51:44+00,2351,"Harris, Frank"
7335,Driving Under the Influence,202000009740,900,5TH ST SW,CPD,2020/04/12 03:46:05+00,2346,"Belinski, Thomas"
7336,Family Offense - Non-Violent,202000009743,2100,"MICHIE DR, 75A",CPD,2020/04/12 03:37:58+00,2337,"Tennyson, James"
7337,Hit and Run,202000009735,,MONTICELLO AVE @ 2ND ST,CPD,2020/04/12 02:09:13+00,2209,"Bowers, Justin"
7338,Assault Simple,202000009713,1900,"SWANSON DR, 15",CPD,2020/04/11 23:27:25+00,1927,"Hounsel, Eli"
7339,Larceny - Theft from Building,202000009674,300,14TH ST NW,CPD,2020/04/11 16:02:59+00,1202,"Pittman, Terry"
7340,Larceny - Theft from Building,202000009672,300,14TH ST NW,CPD,2020/04/11 15:53:18+00,1153,"Nash, Darius"
7341,Assault Simple,202000009669,800,RIDGE ST,CPD,2020/04/11 15:41:37+00,1141,"Sandridge, Jeffrey"
7342,Hit and Run,202000009668,1400,"HAMPTON ST, B",CPD,2020/04/11 15:32:56+00,1132,"TRAVERS, JOSHUA"
7343,Shots Fired/Illegal Hunting,202000009649,,LONGWOOD DR / HARRIS RD,CPD,2020/04/11 06:24:43+00,0224,"Harris, Frank"
7344,Disorderly Conduct,202000009627,1200,EMMET ST N,CPD,2020/04/10 23:10:25+00,1910,"Hounsel, Eli"
7345,Larceny - All Other,202000009622,500,RIDGE ST,CPD,2020/04/10 21:09:01+00,1709,"Bowers, Justin"
7346,Larceny - From Motor Vehicle,202000009617,2000,INDIA RD,CPD,2020/04/10 19:44:59+00,1544,"Hounsel, Eli"
7347,Larceny - Theft from Building,202000009618,1000,"WERTLAND ST, 202",CPD,2020/04/10 19:42:25+00,1542,"Haug, Ian"
7348,Misc - Criminal Call,202000009608,900,RIVES ST,CPD,2020/04/10 18:58:15+00,1458,"McKeown, Kaitlyn"
7349,Robbery - Armed,202000009576,1400,SUNRISE PARK LN,CPD,2020/04/10 07:19:40+00,0319,"Arreguin, Arron"
7350,Fraud-false pretense,202000009565,200,"STRIBLING AVE, A",CPD,2020/04/10 00:12:43+00,2012,"Stein, Nathan"
7351,Vandalism,202000009562,300,RIDGE ST,CPD,2020/04/10 00:08:25+00,2008,"Lowry, Ryan"
7352,Animal Complaint,202000009554,400,FAIRWAY AVE,CPD,2020/04/09 23:15:32+00,1915,"Lee, Chandler"
7353,Lost/FoundProperty,202000009553,100,LANKFORD AVE,CPD,2020/04/09 22:58:19+00,1858,"Via, Jacob"
7354,Larceny - From Motor Vehicle,202000009542,100,WASHINGTON AVE,CPD,2020/04/09 21:00:36+00,1700,"McKeown, Kaitlyn"
7355,Larceny - Theft from Building,202080000029,900,"ST CLAIR AVE, A",CPD,2020/04/09 17:42:19+00,1342,"Handy, Russell"
7356,Disorderly Conduct,202000009520,700,ROCKLAND AVE,CPD,2020/04/09 17:14:53+00,1314,"Pendleton, Eric"
7357,Suspicious Activity,202000009518,800,"HARDY DR, D",CPD,2020/04/09 17:08:57+00,1308,"McKeown, Kaitlyn"
7358,Hit and Run,202000009486,100,LANKFORD AVE,CPD,2020/04/09 11:01:22+00,0701,"Godfrey, Gregory "
7359,Assist Citizen - Mental/TDO/ECO,202000009479,1400,"MONTICELLO RD, 100",CPD,2020/04/09 06:58:45+00,0258,"Arreguin, Arron"
7360,Larceny - Pocket Picking,202000009457,700,FOREST ST,CPD,2020/04/09 02:19:00+00,2219,"Blackwell, Kyle"
7361,Shots Fired/Illegal Hunting,202000009448,,GARRETT ST / 6TH ST SE,CPD,2020/04/09 01:13:17+00,2113,"Lee, Chandler"
7362,Disturbance - Non Domestic,202000009444,400,GARRETT ST,CPD,2020/04/09 00:41:05+00,2041,"Holley, Barrett"
7363,Suspicious Activity,202000009424,1900,BLUE RIDGE RD,CPD,2020/04/08 22:47:15+00,1847,"McKeown, Kaitlyn"
7364,Hit and Run,202000009409,2000,HOLIDAY DR,CPD,2020/04/08 19:46:01+00,1546,"McKeown, Kaitlyn"
7365,Suspicious Activity,202000009392,100,E JEFFERSON ST,CPD,2020/04/08 17:20:37+00,1320,"Vlasis, Christopher"
7366,Vandalism,202000009391,1700,ESSEX RD,CPD,2020/04/08 17:11:24+00,1311,"McKeown, Kaitlyn"
7367,Warrant Service,202000009388,1100,5TH ST SW,CPD,2020/04/08 16:48:32+00,1248,"Oberholzer, Robbie"
7368,Drug Investigation,202000009385,100,W MARKET ST,CPD,2020/04/08 16:29:04+00,1229,"Samar, Jack"
7369,Disorderly Conduct,202000009322,100,LANKFORD AVE,CPD,2020/04/08 02:03:56+00,2203,"Lee, Chandler"
7370,Shots Fired/Illegal Hunting,202000009320,800,"HARDY DR, A",CPD,2020/04/08 01:43:58+00,2143,"Babij, Joshua"
7371,Assist Citizen - Mental/TDO/ECO,202000009318,2500,JEFFERSON PARK AVE,CPD,2020/04/08 00:27:11+00,2027,"Via, Ryan"
7372,Death Investigation - DOA,202000009316,700,"PROSPECT AVE, B",CPD,2020/04/08 00:25:32+00,2025,"Stein, Nathan"
7373,Suspicious Activity,202000009305,900,"BELMONT AVE, B",CPD,2020/04/07 21:51:43+00,1751,"McKeown, Kaitlyn"
7374,Assault Simple,202000009304,800,HARDY DR,CPD,2020/04/07 21:44:37+00,1744,"Holley, Barrett"
7375,Assist Citizen - Welfare Check,202000009297,1100,HERNDON RD,CPD,2020/04/07 20:56:44+00,1656,"Via, Jacob"
7376,Drug/Narcotics Violation,202000009299,600,BOOKER ST,CPD,2020/04/07 20:39:00+00,1639,"Babij, Joshua"
7377,Hit and Run,202000009296,500,1ST ST N,CPD,2020/04/07 20:10:20+00,1610,"McKeown, Kaitlyn"
7378,Larceny - Theft from Building,202000009294,900,2ND ST SE,CPD,2020/04/07 19:50:55+00,1550,"McKeown, Kaitlyn"
7379,Littering/Illegal Dumping,202000009259,100,SEMINOLE CT,CPD,2020/04/07 14:53:01+00,1053,"McKeown, Kaitlyn"
7380,Vandalism,202000009258,100,3RD ST SE,CPD,2020/04/07 14:47:42+00,1047,"Shiflett, Tammy"
7381,Lost/FoundProperty,202000009244,600,E MARKET ST,CPD,2020/04/07 12:55:48+00,0855,"Arndt, Brian"
7382,Assist Agency - Backup/Assist,202000009243,800,W MAIN ST,CPD,2020/04/07 12:05:57+00,0805,"Thomas, Eric"
7383,Vandalism,202000009242,1700,ESSEX RD,CPD,2020/04/07 11:46:13+00,0746,"KEPLINGER, CHRISTOPHER"
7384,Assist Citizen - Mental/TDO/ECO,202000009234,1400,"MONTICELLO RD, 212",CPD,2020/04/07 07:36:28+00,0336,"Arreguin, Arron"
7385,Hit and Run,202000009211,,5TH ST SW @ 5TH STREET STATION PKWY,CPD,2020/04/07 00:57:46+00,2057,"Stein, Nathan"
7386,Suspicious Activity,202000009201,,FOREST HILLS AVE / 9TH ST SW,CPD,2020/04/06 22:39:17+00,1839,"Smith, Daniel"
7387,Vandalism,202000009192,1500,"CARLTON AVE, 26",CPD,2020/04/06 20:43:27+00,1643,"Smith, Daniel"
7388,Sex Offense,202000009180,1200,"CEDARS CT, 411",CPD,2020/04/06 18:54:42+00,1454,"Burchardt, Rudy"
7389,Fraud-false pretense,202080000027,200,"STRIBLING AVE, A",CPD,2020/04/06 16:22:42+00,1222,"Handy, Russell"
7390,Vandalism,202080000028,800,W MAIN ST,CPD,2020/04/06 16:15:29+00,1215,"Moje, Ashley"
7391,Vandalism,202000009166,200,SUNSET AVE,CPD,2020/04/06 16:14:29+00,1214,"Vlasis, Christopher"
7392,Assist Citizen - Mental/TDO/ECO,202000009160,700,"PROSPECT AVE, H",CPD,2020/04/06 15:22:58+00,1122,"Bowlin, Jacob"
7393,Larceny - All Other,202000009159,1100,OTTER ST,CPD,2020/04/06 13:47:21+00,0947,"Vlasis, Christopher"
7394,Suspicious Activity,202000009158,,OXFORD RD / WELLFORD ST,CPD,2020/04/06 13:38:30+00,0938,"Vlasis, Christopher"
7395,Disorderly Conduct,202000009119,700,"6TH ST SE, A",CPD,2020/04/06 01:58:12+00,2158,"Lee, Chandler"
7396,Assist Citizen - Mental/TDO/ECO,202000009121,1000,"PRESTON AVE, C",CPD,2020/04/06 01:45:12+00,2145,"Holley, Barrett"
7397,Hit and Run,202000009108,700,"PROSPECT AVE, D",CPD,2020/04/05 23:40:08+00,1940,"Stein, Nathan"
7398,Larceny - Shoplifitng,202000009103,800,CHERRY AVE,CPD,2020/04/05 22:05:39+00,1805,"Babij, Joshua"
7399,Misc - Criminal Call,202000009102,1600,CHERRY AVE,CPD,2020/04/05 22:00:31+00,1800,"Stein, Nathan"
7400,Vandalism,202000009096,700,WEST ST,CPD,2020/04/05 21:14:40+00,1714,"Burchardt, Rudy"
7401,Disorderly Conduct,202000009091,1400,"MOORES ST, A",CPD,2020/04/05 19:58:09+00,1558,"Via, Ryan"
7402,Fraud-wire fraud,202000009078,600,MONTROSE AVE,CPD,2020/04/05 18:15:50+00,1415,"Pendleton, Eric"
7403,Larceny - Of Veh Parts/Access,202000009076,1000,ELLIOTT AVE,CPD,2020/04/05 16:48:21+00,1248,"Pendleton, Eric"
7404,Assist Citizen - Mental/TDO/ECO,202000009073,100,APPLETREE RD,CPD,2020/04/05 16:32:25+00,1232,"Barbour, Tremaine"
7405,Hit and Run,202000009069,700,RIDGE ST,CPD,2020/04/05 15:44:49+00,1144,"Davis, Charles"
7406,Death Investigation - DOA,202000009068,600,WATSON AVE,CPD,2020/04/05 15:42:10+00,1142,"Shiflett, Tammy"
7407,Animal Complaint,202000009061,,JOHN W WARNER PKWY / MCINTIRE RD,CPD,2020/04/05 12:47:19+00,0847,"Burnett, James"
7408,Driving Under the Influence,202000009044,1200,BELLEVIEW AVE,CPD,2020/04/05 06:47:58+00,0247,"Freivald, Jon"
7409,Warrant Service,202000009037,100,APPLETREE RD,CPD,2020/04/05 03:34:00+00,2334,
7410,Assault Aggravated,202000009022,800,HARDY DR,CPD,2020/04/04 23:50:39+00,1950,"Green, Bryan"
7411,Assault Simple,202000009016,900,PARK ST,CPD,2020/04/04 22:14:29+00,1814,"Raines, Christopher"
7412,Sex Offense-forcible fondling,202000009010,300,11TH ST NW,CPD,2020/04/04 20:22:58+00,1622,"Green, Bryan"
7413,Larceny - All Other,202000009008,1400,AVON ST,CPD,2020/04/04 20:01:19+00,1601,"McKeown, Kaitlyn"
7414,Hit and Run,202000009007,1100,5TH ST SW,CPD,2020/04/04 20:00:24+00,1600,"Stein, Nathan"
7415,Vandalism,202000008999,100,GARRETT ST,CPD,2020/04/04 17:35:20+00,1335,"Culbreath, Jonathan"
7416,Missing Person-adult,202000008991,600,E MARKET ST,CPD,2020/04/04 14:48:29+00,1048,"Oberholzer, Robbie"
7417,Suspicious Activity,202000008987,1200,RUGBY RD,CPD,2020/04/04 09:48:55+00,0548,"Patel, Akash"
7418,Assault Aggravated,202000008981,800,HARDY DR,CPD,2020/04/04 03:46:58+00,2346,"Patel, Akash"
7419,Lost/FoundProperty,202000008974,600,E MARKET ST,CPD,2020/04/04 01:52:56+00,2152,"Raines, Christopher"
7420,Lost/FoundProperty,202000008976,600,E MARKET ST,CPD,2020/04/04 01:52:56+00,2152,"Raines, Christopher"
7421,Lost/FoundProperty,202000008977,600,E MARKET ST,CPD,2020/04/04 01:52:56+00,2152,"Raines, Christopher"
7422,Lost/FoundProperty,202000008978,600,E MARKET ST,CPD,2020/04/04 01:52:56+00,2152,"Raines, Christopher"
7423,Assault Simple,202000008969,100,LANKFORD AVE,CPD,2020/04/04 00:17:59+00,2017,"Bowers, Justin"
7424,Suspicious Activity,202000008960,100,2ND ST NW,CPD,2020/04/03 21:25:32+00,1725,"Green, Bryan"
7425,Warrant Service,202000008944,600,E MARKET ST,CPD,2020/04/03 18:26:08+00,1426,"Green, Bryan"
7426,Larceny - All Other,202000008932,100,W MARKET ST,CPD,2020/04/03 15:36:23+00,1136,"HARPINE, MATTHEW"
7427,Larceny - All Other,202000008925,1800,EMMET ST N,CPD,2020/04/03 13:54:12+00,0954,"Houchens, Jamell"
7428,Fraud-impersonation,202000008922,300,4TH ST NE,CPD,2020/04/03 12:53:00+00,0853,"Turner, Devon"
7429,Larceny - From Motor Vehicle,202000008917,1900,THOMSON RD,CPD,2020/04/03 12:13:10+00,0813,"McKeown, Kaitlyn"
7430,Disorderly Conduct,202000008908,2000,INDIA RD,CPD,2020/04/03 03:37:53+00,2337,"Blackwell, Ryan"
7431,Shots Fired/Illegal Hunting,202000008907,1200,EMMET ST N,CPD,2020/04/03 03:26:40+00,2326,"Adams, Jonathan"
7432,Embezzelment,202000008888,1100,5TH ST SW,CPD,2020/04/02 20:41:49+00,1641,"Haug, Ian"
7433,Animal - Bite,202000008875,200,RIVERSIDE AVE,CPD,2020/04/02 17:21:18+00,1321,"Breeden, Casey"
7434,Larceny - From Motor Vehicle,202000008866,300,QUARRY RD,CPD,2020/04/02 14:03:25+00,1003,"McKeown, Kaitlyn"
7435,Unauthorized Use of Motor Veh,202000008864,1200,"CEDARS CT, 2C",CPD,2020/04/02 13:18:13+00,0918,"TRAVERS, JOSHUA"
7436,Assault Simple,202000008851,400,"4TH ST NW, 213",CPD,2020/04/02 02:02:57+00,2202,"Huber, Christopher"
7437,Larceny - Theft from Building,202080000026,100,"ALTAMONT CIR, 52",CPD,2020/04/01 23:21:42+00,1921,"Handy, Russell"
7438,Misc - Criminal Call,202000008839,1500,E HIGH ST,CPD,2020/04/01 21:15:23+00,1715,"Raines, Christopher"
7439,Shots Fired/Illegal Hunting,202000008820,800,HARDY DR,CPD,2020/04/01 15:56:27+00,1156,"Pittman, Terry"
7440,Vandalism,202000008815,1700,HYDRAULIC RD,CPD,2020/04/01 14:09:14+00,1009,"TRAVERS, JOSHUA"
7441,Larceny - All Other,202000008801,1400,"BAKER ST, B",CPD,2020/04/01 06:41:06+00,0241,"Tennyson, James"
7442,Shots Fired/Illegal Hunting,202000008792,400,GARRETT ST,CPD,2020/04/01 01:01:58+00,2101,"Bowers, Justin"
7443,Larceny - Theft from Building,202080000025,800,"W MAIN ST, 411",CPD,2020/03/31 22:20:06+00,1820,"Handy, Russell"
7444,Disorderly Conduct,202000008774,800,PRESTON AVE,CPD,2020/03/31 19:09:31+00,1509,"Chan, William"
7445,Trespass,202000008752,300,OLD LYNCHBURG RD,CPD,2020/03/31 07:04:50+00,0304,"Blackwell, Kyle"
7446,Hit and Run,202000008744,200,MONTICELLO AVE,CPD,2020/03/31 02:53:03+00,2253,"Arreguin, Arron"
7447,Kidnap/Abduction,202000008743,2000,"HOLIDAY DR, 219",CPD,2020/03/31 02:37:47+00,2237,"Byrd, Timothy"
7448,Larceny - Shoplifitng,202000008736,600,PRESTON AVE,CPD,2020/03/31 00:38:44+00,2038,"Hounsel, Eli"
7449,Hit and Run,202000008724,,BELMONT AVE / CHURCH ST,CPD,2020/03/30 21:31:45+00,1731,"Lee, Chandler"
7450,Disorderly Conduct,202000008715,1500,"GRADY AVE, 3",CPD,2020/03/30 19:19:27+00,1519,"Hounsel, Eli"
7451,Fraud-false pretense,202000008710,100,14TH ST NW,CPD,2020/03/30 18:29:35+00,1429,"Turner, Devon"
7452,Fraud-false pretense,202000008709,700,NELSON DR,CPD,2020/03/30 18:26:42+00,1426,"Houchens, Jamell"
7453,Forgery/Counterfeiting,202000008696,400,RIDGE MCINTIRE RD,CPD,2020/03/30 15:14:54+00,1114,"Shiflett, Tammy"
7454,Harassment,202000008693,400,7 1/2 ST SW,CPD,2020/03/30 14:51:59+00,1051,"Houchens, Jamell"
7455,Larceny - From Motor Vehicle,202000008670,800,BELMONT AVE,CPD,2020/03/30 13:22:56+00,0922,"Turner, Devon"
7456,Vandalism,202000008659,200,"W MAIN ST, 2",CPD,2020/03/30 11:12:44+00,0712,"Godfrey, Gregory "
7457,Larceny - From Motor Vehicle,202000008657,1000,ELLIOTT AVE,CPD,2020/03/30 10:28:32+00,0628,"Godfrey, Gregory "
7458,Assault Simple,202000008640,600,PRESTON AVE,CPD,2020/03/30 03:09:18+00,2309,"Byrd, Timothy"
7459,Drunkeness DIP,202000008619,900,PARK ST,CPD,2020/03/29 21:01:27+00,1701,"Jaeger, Jeffrey"
7460,Disorderly Conduct,202000008616,1300,"RIVERDALE DR, A",CPD,2020/03/29 20:34:10+00,1634,"Jaeger, Jeffrey"
7461,Vandalism,202080000024,300,"4TH ST SE, 28",CPD,2020/03/29 19:14:42+00,1514,"Handy, Russell"
7462,Larceny - Shoplifitng,202000008589,1100,5TH ST SW,CPD,2020/03/29 10:48:15+00,0648,"Barbour, Tremaine"
7463,Larceny - From Motor Vehicle,202000008580,100,"LONGWOOD DR, B",CPD,2020/03/29 06:49:02+00,0249,"Arreguin, Arron"
7464,Hit and Run,202000008579,1600,"EMMET ST N, 301",CPD,2020/03/29 04:43:48+00,0043,"Wagner, Christopher "
7465,Shots Fired/Illegal Hunting,202000008572,,HARDY DR / 8TH ST NW,CPD,2020/03/29 04:02:08+00,0002,"Hickey, Declan"
7466,Misc - Criminal Call,202000008569,100,RAYMOND AVE,CPD,2020/03/29 03:44:57+00,2344,"Wagner, Christopher "
7467,Vandalism,202000008568,100,OLD LYNCHBURG RD,CPD,2020/03/29 03:43:05+00,2343,"Joiner, Chaka"
7468,Hit and Run,202000008563,1800,EMMET ST N,CPD,2020/03/29 01:04:19+00,2104,"Lucas, Corbin"
