X,Y,OBJECTID,geo_MAT_Status,geo_MAT_ST_NUMBER,geo_MAT_PREDIR,geo_MAT_ST_NAME,geo_MAT_SUFFIX,geo_MAT_POSTDIR,centroid_BUILD_STREET,unit,address,geo_MAT_MasterAddressID
-78.4771592734962,38.0256718230657,10474029,,717, ,HINTON,AVE, ,HINTON AVE,,717 HINTON AVE,86788
-78.499467654694,38.0417256663471,10474030,,632, ,PRESTON,PL, ,PRESTON PL,,632 PRESTON PL,85584
-78.4930955969009,38.0306840163149,10474031,,834, ,ESTES,ST, ,ESTES ST,,834 ESTES ST,85585
-78.4937111234997,38.0271348707136,10474032,,521, ,7 1/2,ST,SW ,7 1/2 ST SW ,,521 7 1/2 ST SW,85586
-78.4938450945598,38.0269268789206,10474033,,527, ,7 1/2,ST,SW ,7 1/2 ST SW ,,527 7 1/2 ST SW,85587
-78.4915162525593,38.0332770028936,10474034,,812, ,HARDY,DR, ,HARDY DR,,812 HARDY DR,85589
-78.4811377220736,38.0300889224772,10474035,,115, ,2ND,ST,SE,E WATER ST,,115 2ND ST SE,85590
-78.5095110526984,38.0274178183764,10474036,,114, ,CARROLLTON,TER, ,CARROLLTON TER,I,114 CARROLLTON TER #I,83884
-78.5087287420672,38.0283760344134,10474037,,1800, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,611,1800 JEFFERSON PARK AVE #611,83885
-78.5115639966299,38.0270667423848,10474038,,1904, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,45,1904 JEFFERSON PARK AVE #45,83886
-78.4991084936643,38.034429069344,10474039,,104, ,14TH,ST,NW,14TH ST NW,7,104 14TH ST NW #7,83887
-78.504102992969,38.0116036939331,10474040,,1175, ,5TH,ST,SW,5TH ST SW,A,1175 5TH ST SW #A,83888
-78.5034375201057,38.0161553331763,10474041,,111, ,WELK,PL, ,WELK PL,A,111 WELK PL #A,83889
-78.5120653656542,38.0172830955843,10474042,,103, ,PARK,LN,W,PARK LN W,A,103 PARK LN W #A,83890
-78.5139107370751,38.0192755010619,10474043,,2518, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,A,2518 JEFFERSON PARK AVE #A,83891
-78.4996307206483,38.0202672189865,10474044,,1510, ,ANTOINETTE,AVE, ,ANTOINETTE AVE,B,1510 ANTOINETTE AVE #B,83892
-78.4999514522243,38.0207943417359,10474045,,103, ,ANTOINETTE,CT, ,ANTOINETTE CT,A,103 ANTOINETTE CT #A,83893
-78.5090300076668,38.0258907548765,10474046,,217, ,SHAMROCK,RD, ,SHAMROCK RD,A,217 SHAMROCK RD #A,83894
-78.5141139507885,38.0194600346865,10474047,,2514, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,A,2514 JEFFERSON PARK AVE #A,83895
-78.4956144011418,38.0552378247532,10474048,,1, ,MORTON,DR, ,MORTON DR,106,1 MORTON DR #106,83896
-78.4956144011418,38.0552378247532,10474049,,1, ,MORTON,DR, ,MORTON DR,409,1 MORTON DR #409,83897
-78.5072529785315,38.0506746428624,10474050,,2401, ,ARLINGTON,BLVD, ,ARLINGTON BLVD,39,2401 ARLINGTON BLVD #39,83898
-78.4921865364441,38.0307387754818,10474051,,801, ,WALKER,SQ, ,WALKER SQ,,801 WALKER SQ,86252
-78.4715670771782,38.0217207455023,10474052,,1118, ,LEONARD,ST, ,LEONARD ST,,1118 LEONARD ST,86253
-78.4679958854629,38.0649340876846,10474053,,2307, ,BANBURY,ST, ,BANBURY ST,,2307 BANBURY ST,86254
-78.4809584635731,38.0171333190262,10474054,,813, ,ROCKLAND,AVE, ,ROCKLAND AVE,,813 ROCKLAND AVE,86255
-78.4742006256256,38.0362605449919,10474055,,622, ,EVERGREEN,AVE, ,EVERGREEN AVE,,622 EVERGREEN AVE,86256
-78.4704350919858,38.0363132156469,10474056,,742, ,LEXINGTON,AVE, ,LEXINGTON AVE,,742 LEXINGTON AVE,86257
-78.4718569019942,38.036200930912,10474057,,672, ,EVERGREEN,AVE, ,EVERGREEN AVE,,672 EVERGREEN AVE,86258
-78.472213893929,38.0359507420634,10474058,,666, ,EVERGREEN,AVE, ,EVERGREEN AVE,,666 EVERGREEN AVE,86259
-78.4709817222251,38.0353011740273,10474059,,712, ,LEXINGTON,AVE, ,LEXINGTON AVE,,712 LEXINGTON AVE,86260
-78.4727128868331,38.0352012369022,10474060,,615, ,KELLY,AVE, ,KELLY AVE,,615 KELLY AVE,86261
-78.4719139408811,38.0347119434991,10474061,,615, ,LEXINGTON,AVE, ,LEXINGTON AVE,,615 LEXINGTON AVE,86262
-78.4774697617536,38.0172515722502,10474062,,1004, ,DRUID,AVE, ,DRUID AVE,,1004 DRUID AVE,86263
-78.4772341355566,38.0171273034969,10474063,,1008, ,DRUID,AVE, ,DRUID AVE,,1008 DRUID AVE,86264
-78.4663407908798,38.0637069403794,10474064,,2244, ,BANBURY,ST, ,BANBURY ST,,2244 BANBURY ST,86265
-78.4718358387714,38.0340250233212,10474065,,600, ,LEXINGTON,AVE, ,LEXINGTON AVE,,600 LEXINGTON AVE,86266
-78.4775112024344,38.0339680789867,10474066,,315, ,HEDGE,ST, ,HEDGE ST,,315 HEDGE ST,86267
-78.4721609775142,38.0335850721275,10474067,,516, ,LEXINGTON,AVE, ,LEXINGTON AVE,,516 LEXINGTON AVE,86268
-78.4665793777741,38.0634542816507,10474068,,2237, ,BANBURY,ST, ,BANBURY ST,,2237 BANBURY ST,86269
-78.4937388852509,38.0381529003443,10474069,,504, ,11TH,ST,NW,11TH ST NW,,504 11TH ST NW,86270
-78.4920391794178,38.0381316069736,10474070,,418, ,10TH,ST,NW,10TH ST NW,,418 10TH ST NW,86271
-78.4940246193865,38.0377305893254,10474071,,430, ,11TH,ST,NW,11TH ST NW,,430 11TH ST NW,86272
-78.4973949981574,38.0371974248018,10474072,,1311, ,JOHN,ST, ,JOHN ST,,1311 JOHN ST,86273
-78.4809092009842,38.0168298187498,10474073,,1500, ,GREEN,ST, ,GREEN ST,,1500 GREEN ST,86274
-78.4803137831525,38.016788618508,10474074,,1410, ,MERIDIAN,ST, ,MERIDIAN ST,,1410 MERIDIAN ST,86275
-78.4821258987911,38.0156862530408,10474075,,1605, ,GREEN,ST, ,GREEN ST,,1605 GREEN ST,86276
-78.4681775131438,38.0189456147155,10474076,,1409, ,HAMPTON,ST, ,HAMPTON ST,,1409 HAMPTON ST,86277
-78.4827629077562,38.0313806598114,10474077,,225,W,MAIN,ST, ,W MAIN ST,,225 W MAIN ST,86278
-78.4784044540602,38.0297188898451,10474078,,100, ,5TH,ST,SE,5TH ST SE,,100 5TH ST SE,86279
-78.4975120242221,38.0342105403121,10474079,,1252, ,WERTLAND,ST, ,WERTLAND ST,,1252 WERTLAND ST,86280
-78.485364327665,38.0433583994366,10474080,,1209, ,AUGUSTA,ST, ,AUGUSTA ST,,1209 AUGUSTA ST,86282
-78.486976884608,38.0428037717974,10474081,,1523, ,AMHERST,ST, ,AMHERST ST,,1523 AMHERST ST,86283
-78.496874721262,38.0216552901706,10474082,,777, ,PROSPECT,AVE, ,PROSPECT AVE,,777 PROSPECT AVE,85955
-78.4916181629698,38.027237390565,10474083,,604, ,CHERRY,AVE, ,CHERRY AVE,,604 CHERRY AVE,85956
-78.5214314196221,38.0241520351615,10474084,,2512, ,WESTERLY,AVE, ,WESTERLY AVE,,2512 WESTERLY AVE,85957
-78.5207042761342,38.0240806614326,10474085,,2504, ,WESTERLY,AVE, ,WESTERLY AVE,,2504 WESTERLY AVE,85958
-78.4885406874985,38.0639308707264,10474086,,147, ,ZAN,RD, ,ZAN RD,,147 ZAN RD,85959
-78.5057805986979,38.0505425610816,10474087,,1023, ,MILLMONT,ST, ,MILLMONT ST,,1023 MILLMONT ST,85960
-78.472865652338,38.0292697110794,10474088,,210, ,10TH,ST,NE,10TH ST NE,18,210 10TH ST NE #18,85961
-78.4813745006467,38.0161697666723,10474089,,1516, ,GREEN,ST, ,GREEN ST,B,1516 GREEN ST #B,85962
-78.4844205012406,38.0201700424903,10474090,,1202, ,6TH,ST,SE,6TH ST SE,B,1202 6TH ST SE #B,85963
-78.468359505266,38.0190542777605,10474091,,1407, ,HAMPTON,ST, ,HAMPTON ST,A,1407 HAMPTON ST #A,85964
-78.4582197393774,38.0238187630297,10474092,,1710, ,CHESAPEAKE,ST, ,CHESAPEAKE ST,A,1710 CHESAPEAKE ST #A,85965
-78.4608175541167,38.0263092719694,10474093,,1419, ,SHORT 18TH,ST, ,SHORT 18TH ST,A,1419 SHORT 18TH ST #A,85966
-78.4603008930144,38.0257116185583,10474094,,1506, ,SHORT 18TH,ST, ,SHORT 18TH ST,A,1506 SHORT 18TH ST #A,85967
-78.4608175541167,38.0263092719694,10474095,,1419, ,SHORT 18TH,ST, ,SHORT 18TH ST,B,1419 SHORT 18TH ST #B,85968
-78.496712562573,38.0350262162217,10474096,,1207, ,WERTLAND,ST, ,WERTLAND ST,110,1207 WERTLAND ST #110,85969
-78.4967223917473,38.0351765472388,10474097,,1211, ,WERTLAND,ST, ,WERTLAND ST,230,1211 WERTLAND ST #230,85970
-78.4882205396042,38.0295204159834,10474098,,212, ,5TH,ST,SW,5TH ST SW,C,212 5TH ST SW #C,85971
-78.4882205396042,38.0295204159834,10474099,,212, ,5TH,ST,SW,5TH ST SW,D,212 5TH ST SW #D,85972
-78.4669216322733,38.0206373342652,10474100,,1418, ,SUNRISE PARK,LN, ,SUNRISE PARK LN,,1418 SUNRISE PARK LN,85976
-78.4913947594213,38.0297826764736,10474101,,301, ,7 1/2,ST,SW,7 1/2 ST SW,5,301 7 1/2 ST SW #5,85977
-78.4913947594213,38.0297826764736,10474102,,301, ,7 1/2,ST,SW,7 1/2 ST SW,6,301 7 1/2 ST SW #6,85978
-78.4978601807567,38.0352345341397,10474103,,1307, ,WERTLAND,ST, ,WERTLAND ST,C7,1307 WERTLAND ST #C7,85979
-78.4978601807567,38.0352345341397,10474104,,1307, ,WERTLAND,ST, ,WERTLAND ST,C8,1307 WERTLAND ST #C8,85980
-78.4995152407798,38.0369816009691,10474105,,301,,15TH,ST,NW,15TH ST NW,3046,301 15TH ST NW #3046,85981
-78.4995152407798,38.0369816009691,10474106,,301,,15TH,ST,NW,15TH ST NW,3047,301 15TH ST NW #3047,85982
-78.4995152407798,38.0369816009691,10474107,,301,,15TH,ST,NW,15TH ST NW,5020,301 15TH ST NW #5020,85983
-78.4668659054758,38.0206142021691,10474108,,1420, ,SUNRISE PARK,LN, ,SUNRISE PARK LN,,1420 SUNRISE PARK LN,85984
-78.5052560891809,38.0150261704487,10474109,,103, ,LONGWOOD,DR, ,LONGWOOD DR,C,103 LONGWOOD DR #C,85986
-78.5052812874591,38.0149931659659,10474110,,103, ,LONGWOOD,DR, ,LONGWOOD DR,B,103 LONGWOOD DR #B,85987
-78.4750503642515,38.0359722995202,10474111,,630, ,PARK,ST, ,PARK ST,L,630 PARK ST #L,84845
-78.4879395601168,38.0265875085412,10474112,,517, ,RIDGE,ST, ,RIDGE ST,C,517 RIDGE ST #C,84846
-78.4875207079647,38.026883588207,10474113,,511, ,RIDGE,ST, ,RIDGE ST,2,511 RIDGE ST #2,84847
-78.4875207079647,38.026883588207,10474114,,511, ,RIDGE,ST, ,RIDGE ST,4,511 RIDGE ST #4,84848
-78.4785478007231,38.0321907502202,10474115,,310, ,4TH,ST,NE,4TH ST NE,101,310 4TH ST NE #101,84849
-78.481560814291,38.0276816144075,10474116,,405, ,GARRETT,ST, ,GARRETT ST,F,405 GARRETT ST #F,84850
-78.4900135306744,38.0388020182876,10474117,,923, ,PRESTON,AVE, ,PRESTON AVE,,923 PRESTON AVE,84851
-78.5046510067327,38.0274355232972,10474118,,308, ,VALLEY RD,EXT, ,VALLEY RD EXT,B,308 VALLEY RD EXT #B,85377
-78.4896221391346,38.0184850668357,10474119,,118, ,ROYS,PL, ,ROYS PL,,118 ROYS PL,85378
-78.4895569683632,38.0183732581309,10474120,,116, ,ROYS,PL, ,ROYS PL,,116 ROYS PL,85379
-78.4886194163361,38.0181150530885,10474121,,100, ,ROYS,PL, ,ROYS PL,,100 ROYS PL,85380
-78.5000236007946,38.0228271335815,10474122,,709, ,ROCK CREEK,RD, ,ROCK CREEK RD,,709 ROCK CREEK RD,85579
-78.4986615269692,38.0201941557757,10474123,,914, ,ROCK CREEK,RD, ,ROCK CREEK RD,,914 ROCK CREEK RD,85580
-78.4976295101659,38.0196985522611,10474124,,939, ,ROCK CREEK,RD, ,ROCK CREEK RD,,939 ROCK CREEK RD,85581
-78.5055596977264,38.0157576074013,10474125,,310, ,HARRIS,RD, ,HARRIS RD,,310 HARRIS RD,103970
-78.5054167716916,38.015699026322,10474126,,312, ,HARRIS,RD, ,HARRIS RD,,312 HARRIS RD,103971
-78.47351267337,38.0204189435829,10474127,,508, ,CARLTON,RD, ,CARLTON RD,,508 CARLTON RD,103972
-78.4735723971219,38.019936764194,10474128,,1107, ,BLENHEIM,AVE, ,BLENHEIM AVE,,1107 BLENHEIM AVE,103973
-78.5201359338764,38.019134730115,10474129,,251, ,HUNTLEY,AVE, ,HUNTLEY AVE,,251 HUNTLEY AVE,103974
-78.5200995595415,38.0190565302787,10474130,,253, ,HUNTLEY,AVE, ,HUNTLEY AVE,,253 HUNTLEY AVE,103975
-78.4567012161607,38.0282011281234,10474131,,111, ,RIVERBLUFF,CIR, ,RIVERBLUFF CIR,,111 RIVERBLUFF CIR,103976
-78.4565658119697,38.0281162244598,10474132,,109, ,RIVERBLUFF,CIR, ,RIVERBLUFF CIR,,109 RIVERBLUFF CIR,103977
-78.4689420846613,38.0585598272815,10474133,,1279, ,KENWOOD,LN, ,KENWOOD LN,,1279 KENWOOD LN,103978
-78.5171386091421,38.0274479157798,10474134,,2307, ,PRICE,AVE, ,PRICE AVE,,2307 PRICE AVE,103979
-78.4568919875538,38.0284952098099,10474135,,114, ,RIVERBLUFF,CIR, ,RIVERBLUFF CIR,,114 RIVERBLUFF CIR,103980
-78.5199630031793,38.021173996564,10474136,,116, ,MORGAN,CT, ,MORGAN CT,,116 MORGAN CT,103981
-78.5198174489675,38.0212066979898,10474137,,114, ,MORGAN,CT, ,MORGAN CT,,114 MORGAN CT,103982
-78.4748320024423,38.0320363422516,10474138,,404, ,8TH,ST,NE,8TH ST NE,D,404 8TH ST NE #D,103983
-78.4748320024423,38.0320363422516,10474139,,404, ,8TH,ST,NE,8TH ST NE,E,404 8TH ST NE #E,103984
-78.5137897676924,38.0230889619124,10474140,,110, ,RAYMOND,AVE, ,RAYMOND AVE,,110 RAYMOND AVE,103985
-78.5100872238094,38.0271613985723,10474141,,121, ,CARROLLTON,TER, ,CARROLLTON TER,10,121 CARROLLTON TER #10,103986
-78.515895357063,38.027414460308,10474142,,112, ,CLARKE,CT, ,CLARKE CT,,112 CLARKE CT,103987
-78.4849602501381,38.0382365289779,10474143,,715, ,HENRY,AVE, ,HENRY AVE,200,715 HENRY AVE #200,103988
-78.479480794972,38.020817798231,10474144,,1050, ,RIALTO,ST, ,RIALTO ST,,1050 RIALTO ST,103989
-78.4869613905864,38.0347342673571,10474145,,612, ,PRESTON,AVE, ,PRESTON AVE,B,612 PRESTON AVE #B,103990
-78.4874248101203,38.0299317877316,10474146,,202, ,5TH,ST,SW,5TH ST SW,B,202 5TH ST SW #B,103991
-78.4841872088172,38.0172404763697,10474147,,1450, ,AVON,ST, ,AVON ST,,1450 AVON ST,103992
-78.4916467488075,38.0435351483214,10474148,,1614, ,CABELL,AVE, ,CABELL AVE,,1614 CABELL AVE,103993
-78.4840561620207,38.0163322348536,10474149,,108, ,BLINCOE,LN, ,BLINCOE LN,,108 BLINCOE LN,103994
-78.4842617198439,38.0171423320606,10474150,,1454, ,AVON,ST, ,AVON ST,,1454 AVON ST,103995
-78.4884614766871,38.024915663599,10474151,,114, ,PENICK,CT, ,PENICK CT,,114 PENICK CT,103996
-78.4884715397472,38.0248585636252,10474152,,116, ,PENICK,CT, ,PENICK CT,,116 PENICK CT,103997
-78.4887862401616,38.0241849048746,10474153,,121, ,ROADES,CT, ,ROADES CT,,121 ROADES CT,103998
-78.4888926379189,38.0239545595852,10474154,,113, ,ROADES,CT, ,ROADES CT,,113 ROADES CT,103999
-78.4888660955374,38.0240117986204,10474155,,115, ,ROADES,CT, ,ROADES CT,,115 ROADES CT,104000
-78.4888394687677,38.0240695034143,10474156,,117, ,ROADES,CT, ,ROADES CT,,117 ROADES CT,104001
-78.4888128453749,38.0241271982912,10474157,,119, ,ROADES,CT, ,ROADES CT,,119 ROADES CT,104002
-78.5196158288006,38.0190964655833,10474158,,254, ,HUNTLEY,AVE, ,HUNTLEY AVE,,254 HUNTLEY AVE,104003
-78.489056961061,38.0403745176352,10474159,,937, ,HENRY,AVE, ,HENRY AVE,,937 HENRY AVE,104004
-78.4612945275651,38.0418354167052,10474160,,1028, ,LOCUST,AVE, ,LOCUST AVE,,1028 LOCUST AVE,104005
-78.4732015171178,38.0197591953275,10474161,,1115, ,BLENHEIM,AVE, ,BLENHEIM AVE,,1115 BLENHEIM AVE,104006
-78.4833205198405,38.0440652345327,10474162,,1448, ,WESTWOOD,RD, ,WESTWOOD RD,,1448 WESTWOOD RD,104007
-78.5025428183808,38.0432829622537,10474163,,1832, ,UNIVERSITY,CIR, ,UNIVERSITY CIR,,1832 UNIVERSITY CIR,104008
-78.4884927625086,38.0232146739524,10474164,,116, ,BURNET,WAY, ,BURNET WAY,,116 BURNET WAY,104009
-78.5167191049071,38.0274340273262,10474165,,2303, ,PRICE,AVE, ,PRICE AVE,,2303 PRICE AVE,104010
-78.4939450151512,38.0531504149472,10474166,,1421, ,BLUE RIDGE,RD, ,BLUE RIDGE RD,,1421 BLUE RIDGE RD,104011
-78.4992679078119,38.0381928807055,10474167,,1510, ,VIRGINIA,AVE, ,VIRGINIA AVE,001,1510 VIRGINIA AVE #001,104012
-78.4992679078119,38.0381928807055,10474168,,1510, ,VIRGINIA,AVE, ,VIRGINIA AVE,002,1510 VIRGINIA AVE #002,104013
-78.495368339588,38.0321545288829,10474169,,1000,W,MAIN,ST, ,W MAIN ST,425,1000 W MAIN ST #425,104279
-78.495368339588,38.0321545288829,10474170,,1000,W,MAIN,ST, ,W MAIN ST,426,1000 W MAIN ST #426,104280
-78.495368339588,38.0321545288829,10474171,,1000,W,MAIN,ST, ,W MAIN ST,427,1000 W MAIN ST #427,104281
-78.495368339588,38.0321545288829,10474172,,1000,W,MAIN,ST, ,W MAIN ST,428,1000 W MAIN ST #428,104282
-78.495368339588,38.0321545288829,10474173,,1000,W,MAIN,ST, ,W MAIN ST,429,1000 W MAIN ST #429,104283
-78.495368339588,38.0321545288829,10474174,,1000,W,MAIN,ST, ,W MAIN ST,430,1000 W MAIN ST #430,104284
-78.495368339588,38.0321545288829,10474175,,1000,W,MAIN,ST, ,W MAIN ST,431,1000 W MAIN ST #431,104285
-78.495368339588,38.0321545288829,10474176,,1000,W,MAIN,ST, ,W MAIN ST,432,1000 W MAIN ST #432,104286
-78.495368339588,38.0321545288829,10474177,,1000,W,MAIN,ST, ,W MAIN ST,433,1000 W MAIN ST #433,104287
-78.495368339588,38.0321545288829,10474178,,1000,W,MAIN,ST, ,W MAIN ST,501,1000 W MAIN ST #501,104288
-78.495368339588,38.0321545288829,10474179,,1000,W,MAIN,ST, ,W MAIN ST,502,1000 W MAIN ST #502,104289
-78.495368339588,38.0321545288829,10474180,,1000,W,MAIN,ST, ,W MAIN ST,503,1000 W MAIN ST #503,104290
-78.495368339588,38.0321545288829,10474181,,1000,W,MAIN,ST, ,W MAIN ST,504,1000 W MAIN ST #504,104291
-78.495368339588,38.0321545288829,10474182,,1000,W,MAIN,ST, ,W MAIN ST,505,1000 W MAIN ST #505,104292
-78.495368339588,38.0321545288829,10474183,,1000,W,MAIN,ST, ,W MAIN ST,506,1000 W MAIN ST #506,104293
-78.495368339588,38.0321545288829,10474184,,1000,W,MAIN,ST, ,W MAIN ST,507,1000 W MAIN ST #507,104294
-78.495368339588,38.0321545288829,10474185,,1000,W,MAIN,ST, ,W MAIN ST,508,1000 W MAIN ST #508,104295
-78.495368339588,38.0321545288829,10474186,,1000,W,MAIN,ST, ,W MAIN ST,509,1000 W MAIN ST #509,104296
-78.495368339588,38.0321545288829,10474187,,1000,W,MAIN,ST, ,W MAIN ST,510,1000 W MAIN ST #510,104297
-78.495368339588,38.0321545288829,10474188,,1000,W,MAIN,ST, ,W MAIN ST,511,1000 W MAIN ST #511,104298
-78.495368339588,38.0321545288829,10474189,,1000,W,MAIN,ST, ,W MAIN ST,512,1000 W MAIN ST #512,104299
-78.495368339588,38.0321545288829,10474190,,1000,W,MAIN,ST, ,W MAIN ST,513,1000 W MAIN ST #513,104300
-78.495368339588,38.0321545288829,10474191,,1000,W,MAIN,ST, ,W MAIN ST,514,1000 W MAIN ST #514,104301
-78.495368339588,38.0321545288829,10474192,,1000,W,MAIN,ST, ,W MAIN ST,515,1000 W MAIN ST #515,104302
-78.495368339588,38.0321545288829,10474193,,1000,W,MAIN,ST, ,W MAIN ST,516,1000 W MAIN ST #516,104303
-78.495368339588,38.0321545288829,10474194,,1000,W,MAIN,ST, ,W MAIN ST,517,1000 W MAIN ST #517,104304
-78.495368339588,38.0321545288829,10474195,,1000,W,MAIN,ST, ,W MAIN ST,518,1000 W MAIN ST #518,104305
-78.495368339588,38.0321545288829,10474196,,1000,W,MAIN,ST, ,W MAIN ST,519,1000 W MAIN ST #519,104306
-78.495368339588,38.0321545288829,10474197,,1000,W,MAIN,ST, ,W MAIN ST,520,1000 W MAIN ST #520,104307
-78.495368339588,38.0321545288829,10474198,,1000,W,MAIN,ST, ,W MAIN ST,521,1000 W MAIN ST #521,104308
-78.495368339588,38.0321545288829,10474199,,1000,W,MAIN,ST, ,W MAIN ST,522,1000 W MAIN ST #522,104309
-78.495368339588,38.0321545288829,10474200,,1000,W,MAIN,ST, ,W MAIN ST,523,1000 W MAIN ST #523,104310
-78.495368339588,38.0321545288829,10474201,,1000,W,MAIN,ST, ,W MAIN ST,524,1000 W MAIN ST #524,104311
-78.495368339588,38.0321545288829,10474202,,1000,W,MAIN,ST, ,W MAIN ST,525,1000 W MAIN ST #525,104312
-78.495368339588,38.0321545288829,10474203,,1000,W,MAIN,ST, ,W MAIN ST,526,1000 W MAIN ST #526,104313
-78.495368339588,38.0321545288829,10474204,,1000,W,MAIN,ST, ,W MAIN ST,527,1000 W MAIN ST #527,104314
-78.495368339588,38.0321545288829,10474205,,1000,W,MAIN,ST, ,W MAIN ST,528,1000 W MAIN ST #528,104315
-78.495368339588,38.0321545288829,10474206,,1000,W,MAIN,ST, ,W MAIN ST,529,1000 W MAIN ST #529,104316
-78.495368339588,38.0321545288829,10474207,,1000,W,MAIN,ST, ,W MAIN ST,530,1000 W MAIN ST #530,104317
-78.495368339588,38.0321545288829,10474208,,1000,W,MAIN,ST, ,W MAIN ST,531,1000 W MAIN ST #531,104318
-78.495368339588,38.0321545288829,10474209,,1000,W,MAIN,ST, ,W MAIN ST,532,1000 W MAIN ST #532,104319
-78.495368339588,38.0321545288829,10474210,,1000,W,MAIN,ST, ,W MAIN ST,533,1000 W MAIN ST #533,104320
-78.495368339588,38.0321545288829,10474211,,1000,W,MAIN,ST, ,W MAIN ST,601,1000 W MAIN ST #601,104321
-78.495368339588,38.0321545288829,10474212,,1000,W,MAIN,ST, ,W MAIN ST,602,1000 W MAIN ST #602,104322
-78.4985381622693,38.017492108042,10474213,,100, ,NORWICH,ST, ,NORWICH ST,106,100 NORWICH ST #106,104583
-78.4985381622693,38.017492108042,10474214,,100, ,NORWICH,ST, ,NORWICH ST,107,100 NORWICH ST #107,104584
-78.4985381622693,38.017492108042,10474215,,100, ,NORWICH,ST, ,NORWICH ST,108,100 NORWICH ST #108,104585
-78.4985381622693,38.017492108042,10474216,,100, ,NORWICH,ST, ,NORWICH ST,109,100 NORWICH ST #109,104586
-78.4985381622693,38.017492108042,10474217,,100, ,NORWICH,ST, ,NORWICH ST,110,100 NORWICH ST #110,104587
-78.4985381622693,38.017492108042,10474218,,100, ,NORWICH,ST, ,NORWICH ST,201,100 NORWICH ST #201,104588
-78.4985381622693,38.017492108042,10474219,,100, ,NORWICH,ST, ,NORWICH ST,202,100 NORWICH ST #202,104589
-78.4985381622693,38.017492108042,10474220,,100, ,NORWICH,ST, ,NORWICH ST,203,100 NORWICH ST #203,104590
-78.4985381622693,38.017492108042,10474221,,100, ,NORWICH,ST, ,NORWICH ST,204,100 NORWICH ST #204,104591
-78.4985381622693,38.017492108042,10474222,,100, ,NORWICH,ST, ,NORWICH ST,205,100 NORWICH ST #205,104592
-78.4985381622693,38.017492108042,10474223,,100, ,NORWICH,ST, ,NORWICH ST,206,100 NORWICH ST #206,104593
-78.4985381622693,38.017492108042,10474224,,100, ,NORWICH,ST, ,NORWICH ST,207,100 NORWICH ST #207,104594
-78.4985381622693,38.017492108042,10474225,,100, ,NORWICH,ST, ,NORWICH ST,208,100 NORWICH ST #208,104595
-78.4985381622693,38.017492108042,10474226,,100, ,NORWICH,ST, ,NORWICH ST,209,100 NORWICH ST #209,104596
-78.4985381622693,38.017492108042,10474227,,100, ,NORWICH,ST, ,NORWICH ST,210,100 NORWICH ST #210,104597
-78.4985381622693,38.017492108042,10474228,,100, ,NORWICH,ST, ,NORWICH ST,301,100 NORWICH ST #301,104598
-78.4985381622693,38.017492108042,10474229,,100, ,NORWICH,ST, ,NORWICH ST,302,100 NORWICH ST #302,104599
-78.4985381622693,38.017492108042,10474230,,100, ,NORWICH,ST, ,NORWICH ST,303,100 NORWICH ST #303,104600
-78.4985381622693,38.017492108042,10474231,,100, ,NORWICH,ST, ,NORWICH ST,304,100 NORWICH ST #304,104601
-78.4985381622693,38.017492108042,10474232,,100, ,NORWICH,ST, ,NORWICH ST,305,100 NORWICH ST #305,104602
-78.4985381622693,38.017492108042,10474233,,100, ,NORWICH,ST, ,NORWICH ST,306,100 NORWICH ST #306,104603
-78.4985381622693,38.017492108042,10474234,,100, ,NORWICH,ST, ,NORWICH ST,307,100 NORWICH ST #307,104604
-78.4985381622693,38.017492108042,10474235,,100, ,NORWICH,ST, ,NORWICH ST,308,100 NORWICH ST #308,104605
-78.4985381622693,38.017492108042,10474236,,100, ,NORWICH,ST, ,NORWICH ST,309,100 NORWICH ST #309,104606
-78.4985381622693,38.017492108042,10474237,,100, ,NORWICH,ST, ,NORWICH ST,310,100 NORWICH ST #310,104607
-78.4980575269794,38.0179525019303,10474238,,100, ,DALTON,LN, ,DALTON LN,,100 DALTON LN,104608
-78.4984866325163,38.0178593045511,10474239,,102, ,DALTON,LN, ,DALTON LN,,102 DALTON LN,104609
-78.4985709096019,38.0178361231626,10474240,,104, ,DALTON,LN, ,DALTON LN,,104 DALTON LN,104610
-78.4986553677783,38.0178087920873,10474241,,106, ,DALTON,LN, ,DALTON LN,,106 DALTON LN,104611
-78.4987389819744,38.0177856808438,10474242,,108, ,DALTON,LN, ,DALTON LN,,108 DALTON LN,104612
-78.4988270362298,38.0177658300082,10474243,,110, ,DALTON,LN, ,DALTON LN,,110 DALTON LN,104613
-78.49891064577,38.01774268531,10474244,,112, ,DALTON,LN, ,DALTON LN,,112 DALTON LN,104614
-78.4989956947428,38.0177159468024,10474245,,114, ,DALTON,LN, ,DALTON LN,,114 DALTON LN,104615
-78.4990792369877,38.0176926632438,10474246,,116, ,DALTON,LN, ,DALTON LN,,116 DALTON LN,104616
-78.4991657969486,38.0176725454741,10474247,,118, ,DALTON,LN, ,DALTON LN,,118 DALTON LN,104617
-78.5107230741567,38.0246262957642,10474248,,403, ,ROBERTSON,AVE, ,ROBERTSON AVE,B,403 ROBERTSON AVE #B,104618
