RecordID_Int,ParcelNumber,StreetNumber,StreetName,Unit,UseCode,Style,Grade,Roof,Flooring,Heating,Fireplace,YearBuilt,TotalRooms,Bedrooms,HalfBathrooms,FullBathrooms,BasementGarage,Basement,FinishedBasement,BasementType,ExternalWalls,NumberOfStories,SquareFootageFinishedLiving
2828,200089000,114,CLEVELAND AVE,,Single Family,1 Sty w/ Bsmt,C,Shingles,Hardwood,Hot Water Radiator,1,1928,6,3,0,1,0,1122,180,Full Basement,Stucco,1.00,1157
2830,200092000,2500,JEFFERSON PARK AVE,,Single Family,1 Sty w/ Bsmt,B,Shingles,Hardwood,Floor Furnace,0,1930,6,3,0,1,0,974,,Full Basement,Stucco,1.00,1428
2831,200093000,2510,JEFFERSON PARK AVE,,Single Family,1.5 Story,B -,Shingles,Hardwood,Hot Water Radiator,1,1915,9,4,0,2,0,1365,,Full Basement,Concrete Block,1.50,2048
2835,200096000,2522,JEFFERSON PARK AVE,,Single Family,1.5 Story,B,Shingles,Hardwood,Forced Air,1,1920,7,3,1,1,0,443,,Partial Basement,Aluminum,1.75,1686
2836,200097000,2526,JEFFERSON PARK AVE,,Single Family,1.5 Story,C +,Shingles,Hardwood,Hot Water Radiator,1,1920,7,3,0,2,0,550,,Partial Basement,Wood,1.75,1293
2837,200098000,2530,JEFFERSON PARK AVE,,Single Family,1.5 Story,B,Shingles,Hardwood,Forced Air,1,1920,8,4,No dat,2,0,489,,Partial Basement,Stucco,1.50,1732
2838,200099000,2600,JEFFERSON PARK AVE,,Single Family,1 Sty w/ Bsmt,C +,Metal,Hardwood,Hot Water Radiator,1,1920,5,3,0,1,0,446,,Partial Basement,Aluminum,1.00,1340
2841,200101000,2607,JEFFERSON PARK AVE,,Single Family,2 Story (Avg),B -,Shingles,Hardwood,Heat Pump,1,2000,6,3,1,2,0,,,No Basement,Vinyl,2.00,1680
2842,200102000,110,OLD LYNCHBURG RD,,Single Family,1 Sty (Avg),C -,Architectural Shingles,Hardwood,Forced Air,0,1920,6,2,0,1,0,,,No Basement,Wood,1.00,1000
2843,200103000,112,OLD LYNCHBURG RD,,Single Family,1 Story,C +,Shingles,Hardwood,Hot Water Radiator,1,1948,8,4,0,1,0,,,No Basement,Wood,1.25,1286
2844,200104000,118,OLD LYNCHBURG RD,,Single Family,1.5 Story,C,Shingles,Hardwood,Forced Air,1,1948,8,4,0,2,0,,,No Basement,Vinyl,1.66,1586
2845,200105000,117,MONTE VISTA AVE,,Single Family,1 Sty No Bsmt,C,Architectural Shingles,Hardwood,Heat Pump,0,1965,4,2,0,1,0,,,No Basement,Aluminum,1.00,928
2846,200105100,120,OLD LYNCHBURG RD,,Single Family,1 Sty w/ Bsmt,C -,Shingles,Hardwood,Baseboard,0,1965,4,2,0,1,0,,,No Basement,Wood,1.00,768
2847,200106000,119,MONTE VISTA AVE,,Single Family,2 Story (Avg),C +,Architectural Shingles,Hardwood,Forced Air,1,1920,7,3,1,1,0,594,,Partial Basement,Vinyl,2.00,1328
2848,200107000,115,MONTE VISTA AVE,,Single Family,2 Story (Avg),C +,Architectural Shingles,Hardwood,Forced Air,1,1916,6,2,1,1,0,289,,Partial Basement,Wood,2.00,1394
2849,200108000,113,MONTE VISTA AVE,,Single Family,1.5 Sty (Avg),C +,Architectural Shingles,Hardwood,Hot Water Radiator,2,1947,9,3,1,1,0,1146,,Partial Basement,Brick Veneer,1.50,2084
2850,200109000,111,MONTE VISTA AVE,,Single Family,1.5 Sty (Avg),D +,Shingles,Hardwood,Forced Air,1,1945,6,4,0,1,0,672,,Partial Basement,Aluminum,1.50,1200
2851,200110000,105,MONTE VISTA AVE,,Single Family,1 Sty Superior,C +,Architectural Shingles,Hardwood,Forced Air,0,1946,5,2,0,1,0,145,,Partial Basement,Vinyl,1.00,725
2852,200111000,2611,JEFFERSON PARK AVE,,Single Family,2 Story,B,Shingles,Hardwood,Forced Air,0,1920,8,4,0,1,0,345,,Partial Basement,Asbestos,2.00,1390
2853,200112000,2613,JEFFERSON PARK AVE,,Single Family,1 Story,C,Architectural Shingles,Hardwood,Forced Air,0,1936,7,4,0,2,0,480,,Partial Basement,Aluminum,1.00,1152
2855,200113100,104,MONTE VISTA AVE,,Single Family,1.5 Story,C,Architectural Shingles,Hardwood,Forced Air,1,1920,8,3,0,2,0,1190,,Full Basement,Aluminum,1.66,1975
2858,200114000,2621,JEFFERSON PARK AVE,,Single Family,1 Sty No Bsmt,C +,Shingles,Hardwood,Forced Air,1,1949,7,3,0,2,0,,,No Basement,Vinyl,1.00,1265
2860,200116000,108,MONTE VISTA AVE,,Single Family,1.5 Story,C++,Architectural Shingles,Hardwood,Forced Air,1,1920,6,3,0,2,0,672,,Full Basement,Wood,1.5,1298
2861,200117000,110,MONTE VISTA AVE,,Single Family,2 Story (Avg),C++,Architectural Shingles,Hardwood,Heat Pump,0,1920,8,3,0,2,0,1008,432,Full Basement,Wood,2.00,1584
2862,200118000,112,MONTE VISTA AVE,,Single Family,1.5 Story,C +,Shingles,Hardwood,Forced Air,1,1916,5,2,0,1,0,528,,Full Basement,Wood,1.75,924
2864,200119000,118,MONTE VISTA AVE,,Single Family,2 Story (Avg),B,Shingles,Hardwood,Forced Air,1,1935,8,3,0,2,No dat,352,,Partial Basement,Aluminum,2.00,1588
2865,200120000,200,MONTE VISTA AVE,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1956,7,3,0,1,0,962,628,Full Basement,Brick Veneer,1.00,962
2873,200126200,208,MONTE VISTA AVE,,Single Family,1 Sty (Avg),C,Architectural Shingles,Hardwood,Forced Air,0,1951,9,4,No dat,2,0,825,412,Full Basement,Brick Veneer,1.33,1097
2874,200127000,212,MONTE VISTA AVE,,Single Family,2 Story,B,Architectural Shingles,Hardwood,Heat Pump,1,1920,7,4,0,2,0,744,,Partial Basement,Wood Shingle,2.00,1722
2876,200128000,214,MONTE VISTA AVE,,Single Family,2 Story (Avg),B,Shingles,Hardwood,Forced Air,0,1949,5,2,0,2,0,,,No Basement,Vinyl,2.00,1788
2878,200130000,218,MONTE VISTA AVE,,Single Family,1.5 Story,C,Architectural Shingles,Hardwood,Forced Air,1,1947,7,3,0,2,0,713,,Partial Basement,Wood,1.75,1222
2880,200131000,222,MONTE VISTA AVE,,Single Family,2 Story,B,Shingles,Hardwood,Forced Air,1,1920,8,4,0,2,0,550,,Partial Basement,Wood,2.00,1690
2886,200134000,230,MONTE VISTA AVE,,Single Family,1 Sty w/ Bsmt,C,Shingles,Hardwood,Floor Furnace,0,1946,5,2,0,1,0,625,306,Full Basement,Aluminum,1.25,781
2887,200135000,232,MONTE VISTA AVE,,Single Family,1.5 Story,C +,Shingles,Hardwood,Forced Air,0,1946,7,3,0,1,0,625,300,Full Basement,Perma-Stone,1.50,938
2888,200136000,234,MONTE VISTA AVE,,Single Family,1.5 Story,C +,Shingles,Hardwood,Forced Air,1,1946,8,4,0,2,0,1073,506,Walkout Basement,Asbestos,1.50,1386
2889,200137000,236,MONTE VISTA AVE,,Single Family,1.5 Story,C +,Architectural Shingles,Hardwood,Forced Air,0,1946,6,3,0,2,0,625,625,Partial Basement,Stucco,1.75,1157
2890,200138000,238,MONTE VISTA AVE,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,0,1946,5,1,0,1,0,625,,Partial Basement,Asbestos,1.00,981
2891,200139000,240,MONTE VISTA AVE,,Single Family,1.5 Story,C++,Architectural Shingles,Hardwood,Forced Air,0,1946,7,3,1,2,0,625,575,Full Basement,Hardy Board,1.75,1094
2892,200140000,242,MONTE VISTA AVE,,Single Family,1 Story,C,Shingles,Hardwood,Floor Furnace,0,1946,6,3,0,2,0,625,320,Full Basement,Wood,1.00,625
2893,200141000,246,MONTE VISTA AVE,,Single Family,1 Sty Excellent,C++,Architectural Shingles,Hardwood,Forced Air,1,1922,7,4,0,2,0,420,420,Partial Basement,Vinyl,1.00,1504
2901,200150000,2703,JEFFERSON PARK AVE,,Single Family,2 Story,B,Architectural Shingles,Hardwood,Forced Air,1,1935,8,4,0,3,0,552,,Partial Basement,Vinyl,2.00,2208
2903,200152000,203,AZALEA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1957,6,3,0,2,0,1074,502,Partial Basement,Brick Veneer,1.00,1289
2904,200153000,205,AZALEA DR,,Single Family,1 Sty w/ Bsmt,B -,Shingles,Hardwood,Forced Air,2,1957,6,3,0,2,0,1226,150,Full Basement,Brick Veneer,1.00,1226
2905,200154000,207,AZALEA DR,,Single Family,1 Story,C +,Architectural Shingles,Hardwood,Forced Air,1,1957,6,3,0,2,0,1265,976,Full Basement,Brick Veneer,1.00,1265
2906,200155000,209,AZALEA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1956,7,3,0,1,0,1279,1056,Full Basement,Brick Veneer,1.00,1279
2907,200156000,211,AZALEA DR,,Single Family,1 Story,C,Shingles,Other,Forced Air,1,1958,6,3,0,1,1,1108,0,Full Basement,Brick Veneer,1.00,1108
2908,200157000,124,AZALEA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1958,7,3,0,2,0,1205,702,Full Basement,Brick Veneer,1.00,1161
2909,200158000,122,AZALEA DR,,Single Family,1 Story,B -,Shingles,Hardwood,Heat Pump,1,1958,6,3,0,2,0,1229,1229,Full Basement,Brick Veneer,1.00,1196
2910,200159000,120,AZALEA DR,,Single Family,1 Story,C,Shingles,Hardwood,Hot Water Radiator,1,1957,8,3,1,1,0,991,743,Full Basement,Brick Veneer,1.00,991
2911,200160000,118,AZALEA DR,,Single Family,1 Sty No Bsmt,C++,Architectural Shingles,Hardwood,Forced Air,1,1958,5,3,0,1,0,,,No Basement,Brick Veneer,1.00,1118
2912,200161000,116,AZALEA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1958,7,3,0,2,0,1063,532,Full Basement,Brick Veneer,1.00,1063
2913,200162000,114,AZALEA DR,,Single Family,1 Story,C,Shingles,Other,Forced Air,1,1958,7,3,0,2,0,1109,1109,Full Basement,Brick Veneer,1.00,1085
2914,200163000,112,AZALEA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1958,7,3,0,2,0,1087,831,Full Basement,Brick Veneer,1.00,1087
2915,200164000,101,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,2,1960,7,3,1,1,0,1226,1090,Partial Basement,Brick Veneer,1.00,1226
2917,200166000,105,CAMELLIA DR,,Single Family,1 Sty w/ Bsmt,C,Architectural Shingles,Hardwood,Forced Air,2,1961,8,4,No dat,2,0,1107,735,Full Basement,Brick Veneer,1.00,1111
2918,200167000,107,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,2,1961,6,3,0,2,0,1121,561,Full Basement,Brick Veneer,1.00,1121
2919,200168000,109,CAMELLIA DR,,Single Family,1 Story,C,Architectural Shingles,Hardwood,Forced Air,2,1960,7,4,0,2,0,1100,1100,Full Basement,Brick Veneer,1.00,1076
2920,200169000,102,CAMELLIA DR,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,2,1960,7,3,0,2,0,1226,1226,Partial Basement,Brick Veneer,1.00,1291
2923,200173000,202,CAMELLIA DR,,Single Family,1 Sty w/ Bsmt,B,Shingles,Hardwood,Forced Air,2,1964,7,4,1,2,0,1200,1200,Full Basement,Brick Veneer,1.00,1200
2924,200174000,204,CAMELLIA DR,,Single Family,1 Sty w/ Bsmt,C +,Architectural Shingles,Hardwood,Forced Air,1,1964,8,3,1,2,0,1200,1200,Full Basement,Brick Veneer,1.00,1200
2925,200175000,206,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,2,1964,6,3,1,1,0,1155,200,Full Basement,Brick Veneer,1.00,1155
2926,200176000,208,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Heat Pump,2,1963,7,3,1,1,0,1161,578,Full Basement,Brick Veneer,1.00,1161
2927,200177000,103,SHASTA CT,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,2,1963,7,3,0,3,0,1345,570,Full Basement,Brick Veneer,1.00,1333
2928,200178000,105,SHASTA CT,,Single Family,Split-Foyer,B,Shingles,None,Forced Air,2,1964,8,4,0,2,0,1040,832,Full Basement,Brick Veneer,1.00,1040
2929,200179000,107,SHASTA CT,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1964,8,3,1,1,0,1222,489,Full Basement,Brick Veneer,1.00,1186
2930,200180000,109,SHASTA CT,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1965,7,3,1,1,0,1162,765,Full Basement,Brick Veneer,1.00,1162
2932,200182000,113,SHASTA CT,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1965,5,3,1,1,0,1075,,Full Basement,Brick Veneer,1.00,1075
2933,200183000,115,SHASTA CT,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1965,9,3,1,1,0,1162,510,Full Basement,Brick Veneer,1.00,1162
2934,200184000,116,SHASTA CT,,Single Family,1 Sty w/ Bsmt,C +,Architectural Shingles,W/W Carpet,Forced Air,2,1966,6,3,1,2,0,1050,740,Full Basement,Brick Veneer,1.00,1050
2935,200185000,114,SHASTA CT,,Single Family,1 Sty w/ Bsmt,C +,Shingles,Hardwood,Forced Air,1,1965,6,4,1,2,0,1196,814,Full Basement,Brick Veneer,1.00,1196
2936,200186000,112,SHASTA CT,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,2,1967,5,3,1,1,0,592,592,Partial Basement,Brick Veneer,1.00,1151
2937,200187000,110,SHASTA CT,,Single Family,Split-Level,C,Shingles,Hardwood,Forced Air,1,1964,8,3,0,2,0,,,No Basement,Brick Veneer,2.00,1187
2939,200189000,212,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1965,5,3,1,1,0,1071,0,Full Basement,Brick Veneer,1.00,1071
2940,200190000,214,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,0,1963,8,4,0,2,0,1541,514,Full Basement,Brick Veneer,1.00,1521
2941,200191000,216,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1965,9,3,1,2,0,1163,581,Partial Basement,Brick Veneer,1.00,1485
2942,200192000,218,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1964,6,3,1,1,0,1222,0,Full Basement,Brick Veneer,1.00,1222
2943,200193000,300,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1965,10,3,1,2,0,1075,1075,Full Basement,Brick Veneer,1.00,1075
2944,200194000,302,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1965,6,3,1,2,0,1196,583,Full Basement,Brick Veneer,1.00,1196
2945,200195000,304,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,2,1965,7,4,1,2,0,1273,955,Full Basement,Brick Veneer,1.00,1273
2946,200196000,306,CAMELLIA DR,,Single Family,1 Sty w/ Bsmt,C,Shingles,Hardwood,Forced Air,1,1962,8,3,0,2,0,1161,578,Full Basement,Brick Veneer,1.00,1161
2947,200197000,308,CAMELLIA DR,,Single Family,Split-Level,C,Shingles,Hardwood,Forced Air,1,1963,10,4,0,2,0,703,273,Partial Basement,Brick Veneer,2.00,1951
2948,200198000,310,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1964,8,3,0,2,0,1092,819,Full Basement,Brick Veneer,1.00,1092
2950,200200000,314,CAMELLIA DR,,Single Family,1 Sty w/ Bsmt,C,Shingles,Hardwood,Forced Air,1,1964,7,3,0,2,0,1080,659,Full Basement,Brick Veneer,1.00,1080
2951,200201000,316,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1965,6,3,1,1,0,1075,809,Full Basement,Brick Veneer,1.00,1075
2953,200203000,320,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1963,5,2,0,1,0,1092,0,Full Basement,Brick Veneer,1.00,1092
2954,200204000,322,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1963,6,3,0,1,0,1092,0,Full Basement,Brick Veneer,1.00,1092
2955,200205000,324,CAMELLIA DR,,Single Family,Split-Level,C,Shingles,Hardwood,Forced Air,1,1963,7,3,0,2,0,0,0,No Basement,Brick Veneer,2.00,1867
2956,200206000,326,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,2,1962,7,3,1,1,0,1243,678,Full Basement,Brick Veneer,1.00,1243
2957,200207000,328,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,2,1963,7,2,0,2,0,1170,580,Full Basement,Brick Veneer,1.00,1170
2958,200208000,330,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Baseboard,0,1965,8,3,1,1,0,1063,0,Full Basement,Brick Veneer,1.00,1063
2959,200209000,332,CAMELLIA DR,,Single Family,1 Sty w/ Bsmt,C,Architectural Shingles,Hardwood,Forced Air,0,1964,6,3,1,1,0,1008,270,Full Basement,Brick Veneer,1.00,1008
2960,200210000,334,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,2,1963,6,3,0,1,0,1144,160,Full Basement,Brick Veneer,1.00,1144
2961,200211000,336,CAMELLIA DR,,Single Family,Split-Level (Avg),C +,Architectural Shingles,Hardwood,Forced Air,1,1962,8,4,0,2,0,1101,1080,Walkout Basement,Brick Veneer,2.00,1389
2962,200212000,338,CAMELLIA DR,,Single Family,Split-Level,C,Shingles,Hardwood,Forced Air,1,1962,6,3,1,1,0,0,0,No Basement,Brick Veneer,2.00,1727
2963,200213000,340,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1959,6,3,0,1,0,1073,537,Full Basement,Brick Veneer,1.00,1073
2964,200214000,337,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,2,1961,7,3,0,2,0,1178,589,Full Basement,Brick Veneer,1.00,1178
2965,200215000,335,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,2,1963,6,2,1,1,0,1204,0,Full Basement,Brick Veneer,1.00,1204
2966,200216000,333,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,2,1963,6,2,1,1,0,1148,100,Full Basement,Brick Veneer,1.00,1116
2967,200217000,331,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,0,1965,6,3,1,1,0,1068,0,Full Basement,Brick Veneer,1.00,1068
2968,200218000,329,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,0,1964,6,3,1,1,0,1075,365,Full Basement,Brick Veneer,1.00,1075
2969,200219000,327,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,2,1965,6,3,1,1,0,1219,288,Full Basement,Brick Veneer,1.00,1219
2970,200220000,325,CAMELLIA DR,,Single Family,1 Sty w/ Bsmt,C +,Architectural Shingles,Hardwood,Forced Air,2,1962,7,3,0,2,0,1226,955,Full Basement,Brick Veneer,1.00,1238
2971,200221000,315,CAMELLIA DR,,Single Family,Split-Level,C,Shingles,Hardwood,Forced Air,1,1963,7,4,0,2,0,0,0,No Basement,Brick Veneer,2.00,1729
2972,200222000,309,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,2,1960,7,3,0,2,0,999,718,Full Basement,Brick Veneer,1.00,999
2973,200223000,307,CAMELLIA DR,,Single Family,1 Story,C++,Architectural Shingles,Hardwood,Heat Pump,0,1962,7,4,0,3,0,1276,882,Full Basement,Brick Veneer,1.00,1276
2974,200224000,305,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1964,5,3,1,1,0,1221,288,Full Basement,Brick Veneer,1.00,1221
2975,200225000,303,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,2,1962,8,4,1,2,0,1171,1026,Full Basement,Brick Veneer,1.00,1171
2977,200227000,213,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,2,1963,5,2,1,1,0,1151,576,Full Basement,Brick Veneer,1.00,1151
2978,200228000,211,CAMELLIA DR,,Single Family,1 Story,C +,Architectural Shingles,Hardwood,Forced Air,2,1963,7,3,0,3,0,1342,793,Partial Basement,Brick Veneer,1.00,1447
2979,200229000,209,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1964,7,3,1,1,0,1196,268,Full Basement,Brick Veneer,1.00,1196
2980,200230000,207,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1963,8,3,1,1,0,1142,571,Full Basement,Brick Veneer,1.00,1500
2981,200231000,205,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Baseboard,0,1964,8,4,1,2,0,1222,1003,Full Basement,Brick Veneer,1.00,1222
2982,200232000,203,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1964,7,3,1,1,0,1222,630,Full Basement,Brick Veneer,1.00,1222
2983,200233000,201,CAMELLIA DR,,Single Family,Split-Foyer (Avg),C,Shingles,Hardwood,Forced Air,1,1964,9,3,0,2,0,1040,1000,Partial Basement,Brick Veneer,1.00,1040
2984,200234000,111,CAMELLIA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,2,1962,7,4,0,2,0,1240,1240,Full Basement,Brick Veneer,1.00,1240
2985,200235000,126,AZALEA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1959,6,3,1,1,0,1077,0,Full Basement,Brick Veneer,1.00,1077
2986,200236000,128,AZALEA DR,,Single Family,1 Sty w/ Bsmt,B -,Shingles,Hardwood,Forced Air,1,1959,7,3,0,2,0,999,496,Full Basement,Brick Veneer,1.00,1307
2987,200237000,200,AZALEA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,2,1959,7,3,0,2,0,1238,620,Full Basement,Brick Veneer,1.00,1238
2988,200238000,202,AZALEA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1958,8,3,0,1,0,999,647,Full Basement,Brick Veneer,1.00,999
2991,200241000,105,GARDEN DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1964,7,3,1,1,0,999,338,Full Basement,Brick Veneer,1.00,999
2992,200242000,107,GARDEN DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1962,6,3,0,1,0,1060,0,Full Basement,Brick Veneer,1.00,1060
2994,200243000,300,AZALEA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1960,7,3,0,2,0,825,490,Full Basement,Brick Veneer,1.00,1031
2995,200244000,302,AZALEA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,2,1959,7,3,0,2,0,825,371,Full Basement,Brick Veneer,1.00,1031
2996,200245000,304,AZALEA DR,,Single Family,1.5 Story,C,Shingles,Hardwood,Forced Air,1,1960,6,3,0,1,0,818,0,Partial Basement,Brick Veneer,1.50,1456
2997,200246000,306,AZALEA DR,,Single Family,1.5 Story,C,Shingles,Hardwood,Forced Air,1,1965,7,4,0,2,0,999,999,Full Basement,Brick Veneer,1.50,1485
2998,200246100,308,AZALEA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1965,8,4,1,2,0,1215,0,Full Basement,Brick Veneer,1.00,1923
3003,200249000,231,AZALEA DR,,Single Family,1.5 Story,C,Shingles,Hardwood,Forced Air,1,1959,5,3,0,2,0,821,0,Full Basement,Brick Veneer,1.50,1184
3004,200250000,229,AZALEA DR,,Single Family,1.5 Story,C,Shingles,Hardwood,Forced Air,1,1959,6,3,0,2,0,825,354,Full Basement,Brick Veneer,1.50,1238
3005,200251000,227,AZALEA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1960,7,3,0,1,0,999,400,Full Basement,Brick Veneer,1.00,999
3006,200252000,225,AZALEA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1959,7,3,0,1,0,1003,0,Full Basement,Brick Veneer,1.00,1003
3007,200253000,223,AZALEA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1959,6,3,0,2,0,1106,332,Full Basement,Brick Veneer,1.00,1106
3009,200255000,219,AZALEA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1960,7,4,0,1,0,1095,821,Full Basement,Brick Veneer,1.00,1095
3010,200256000,217,AZALEA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1959,7,3,0,2,0,986,250,Full Basement,Brick Veneer,1.00,986
3011,200257000,215,AZALEA DR,,Single Family,1 Sty No Bsmt,C,Shingles,Hardwood,Forced Air,1,1959,7,4,0,2,0,,,No Basement,Brick Veneer,1.00,1350
3012,200258000,213,AZALEA DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,2,1959,8,3,0,1,0,1102,551,Full Basement,Brick Veneer,1.00,1102
3013,200259100,101,HILTON DR,,Single Family,1 Sty w/ Bsmt,C,Shingles,Hardwood,Forced Air,1,1966,6,3,1,1,0,1156,525,Full Basement,Brick Veneer,1.00,1150
3014,200259101,609,MOSELEY DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1966,8,3,1,1,0,1163,582,Full Basement,Brick Veneer,1.00,1196
3015,200259110,607,MOSELEY DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1967,8,3,1,2,0,1158,758,Full Basement,Brick Veneer,1.00,1158
3018,200259140,601,MOSELEY DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,2,1966,10,3,1,1,0,1163,540,Full Basement,Brick Veneer,1.00,1138
3019,200259150,620,MOSELEY DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,2,1967,8,3,1,2,0,1160,729,Full Basement,Brick Veneer,1.00,1133
3020,200259160,618,MOSELEY DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1967,8,3,1,1,0,1160,577,Full Basement,Brick Veneer,1.00,1160
3021,200259170,616,MOSELEY DR,,Single Family,Split-Level,C,Shingles,Hardwood,Forced Air,1,1967,6,3,1,1,0,426,320,Partial Basement,Brick Veneer,2.00,1554
3022,200259180,614,MOSELEY DR,,Single Family,Split-Foyer,C +,Architectural Shingles,Hardwood,Heat Pump,1,1967,8,4,1,2,0,1150,943,Walkout Basement,Brick Veneer,1.00,1216
3023,200259190,612,MOSELEY DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,0,1966,7,3,0,2,0,1075,657,Full Basement,Brick Veneer,1.00,1075
3024,200259200,103,HILTON DR,,Single Family,1 Sty w/ Bsmt,C,Architectural Shingles,Hardwood,Forced Air,1,1966,9,3,No dat,2,0,1196,1031,Full Basement,Brick Veneer,1.00,1196
3025,200259201,610,MOSELEY DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,2,1968,7,3,0,2,0,1116,800,Full Basement,Brick Veneer,1.00,1116
3026,200259210,608,MOSELEY DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,No dat,1969,5,3,1,1,No dat,1071,,Full Basement,Brick Veneer,1.00,1071
3027,200259220,606,MOSELEY DR,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,0,1969,6,3,1,1,0,1071,729,Full Basement,Brick Veneer,1.00,1071
3028,200259230,604,MOSELEY DR,,Single Family,1 Story,C,Shingles,W/W Carpet,Forced Air,1,1966,6,2,1,1,0,1296,559,Full Basement,Brick Veneer,1.00,1296
